Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7891193010173;PAO 7GRAOS S.BOYS BEN LIGHT 400G;1;UN;7,98;7,98;
7891193010180;PAO 7GRAOS S.BOYS BENEF 400G;1;UN;7,98;7,98;
7896333015148;MADELEINES MERCATTO 250G;1;UN;17,9;17,90;
7891991000840;AG TONICA ANTARCT LT350ML;1;UN;3,19;3,19;
7894900300017;AG TONICA SCHWEPPES LT350ML;2;UN;2,85;5,70;
7891991000888;AG TONICA ANTARCT ZR LT350ML;1;UN;3,19;3,19;
2095530000000;LARANJA NAVELINA GRANEL;0,6995;KG;9,95;6,96;
7898193790012;ALFACE DE ESTUFA;1;UN;3,15;3,15;
2296670000008;BOLO CANELA RB;0,2739;KG;29,9;8,19;
7896333009055;CAFE MERCATTO TRAD VAC500G;1;UN;14,48;14,48;
Valor total R$;78,72;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
