Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
4;GASOLINA ADITIVADA;14,103;L;7,09;99,99;
001788;CHOCOLATE XOKS BARRAS 27GR;1;UN;3;3,00;
Valor total R$;102,99;
Estabelecimento;S S COMERCIO DE COMBUSTIVEIS S A;
