Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
2005500000008;CEBOLA BRANCA GRANEL;0,5399;KG;4,39;2,37;
2009630000006;BANANA CATURRA GRANEL;0,8376;KG;5,48;4,59;
7896506900028;FAR TRIGO ROSEFLOR T1 1KG;1;UN;3,39;3,39;
7896333000168;FEIJAO PRETO CAPELLINI 1KG;1;UN;8,39;8,39;
7898212850406;ARROZ DEMELLO PARB PREM T1 1KG;1;UN;3,68;3,68;
7899970400902;CHOC HERSHEYS DARK TRAD 85G;1;UN;6,99;6,99;
7896333001028;AG MINERAL NATURALE C/GAS 500ML;2;UN;1,25;2,50;
Valor total R$;31,91;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
