Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
2009630000006;BANANA CATURRA GRANEL;1,1277;KG;5,95;6,71;
2752200000004;BERGAMOTA CLEMENULE 70/90 GRANEL;0,7794;KG;3,99;3,11;
7891193010173;PAO 7GRAOS S.BOYS BEN LIGHT 400G;1;UN;7,98;7,98;
7891193010180;PAO 7GRAOS S.BOYS BENEF 400G;1;UN;7,98;7,98;
7898955617526;QJO MUSSARELA PRESIDENT FAT 150G;1;UN;8,99;8,99;
2275020000004;MORT DEFUMADA SADIA AS;0,2259;KG;35,9;8,11;
7896333039496;QJO PARMESAO TUTTIGIO RAL 50G;2;UN;5,29;10,58;
7896034680126;QJO PARMESAO PRESIDENT RAL 50G;2;UN;5,69;11,38;
7896926700017;QJO CAMEMBERT S.VICENTE 125G;1;UN;15,9;15,90;
7899903400504;GROSTOLI EST DO PAO FINO 200G;1;UN;8,29;8,29;
2230160000000;CUCA ALEMA UVA ZF;0,2262;KG;27,9;6,31;
Valor total R$;95,34;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
