Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7896328210022;CHA BARAO CAMOMILA 10SH;2;UN;2,78;5,56;
7896001035010;PREND ROUPA ESFREBOM PLAST C/16;1;UN;9,9;9,90;
7896051099918;PREND ROUPA GINA MAD C/12;2;UN;2,99;5,98;
7897750781739;PANO PIA ALKLIN 25X25CM C/3;2;UN;7,98;15,96;
7891361858668;TIGELA OXFORD COLOR BR 600ML;1;UN;19,9;19,90;
7898018320080;GUARD BRANKITO 20X22 C/50;2;UN;1,45;2,90;
7891021006071;CAFE MELITTA TRADICIONAL 250G;1;UN;8,99;8,99;
7891022101003;ESP ACO BOMBRIL ECO C/8;1;UN;3,35;3,35;
2006970000000;MAMAO PAPAIA INTEIRO;0,6117;KG;17,9;10,95;
Valor total R$;83,49;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
