Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7894900010015;COCA COLA LATA;2;UN;7,9;15,80;
90103070029000;COMBO CHEESE CHICKEN CRISPY;2;UN;36;72,00;
Valor total R$;87,80;
Estabelecimento;MADERO INDUSTRIA E COMERCIO S.;
