Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
036006;Bloco anotacao cpauta 200x273mm serrilhado 50fls 27597 Spiral UN 1 UN;1;UN;8,2;8,20;
038903;Bloco desenho A4 branco 180g 66667164 Canson BL 20 FL;1;BL;10,5;10,50;
136636;Caderno univ.capa dura 10x1 160fls Lumi lilas 211942 Spiral Lumi PT 1 UN;1;PT;28,9;28,90;
139212;Caderno univ.capa dura 1x1 80fls Lumi amarelo 211681 Spiral Lumi PT 1 UN;1;PT;18,9;18,90;
136635;Caderno univ.capa dura 10x1 160fls Lumi laranj 211941 Spiral Lumi PT 1 UN;1;PT;28,9;28,90;
139213;Caderno univ.capa dura 1x1 80fls Lumi az claro 211682 Spiral Lumi PT 1 UN;1;PT;18,9;18,90;
240200;Caneta corretiva 8ml . 005 Spiral PT 1 UN;1;PT;8,9;8,90;
620376;Pincel marca texto lumi soft violeta pastel 1482005SM024V Pilot BT 1 UN;1;BT;3,8;3,80;
068654;Borracha c cinta Max pequena SM107024 Faber Castell BT 2 UN;1;BT;5,5;5,50;
429590;Lapiseira 0.7mm tecnica TecnoCis +1 mina de grafite azul Cis BT 1 UN;1;BT;12,7;12,70;
427293;Caneta hidrografica Fine Pen 0,4mm pt SMFPBPRZF Faber Castell BT 1 UN;1;BT;6,8;6,80;
178500;Caneta esferografica 1.0mm Trilux style colors Faber Castell BT 5 UN;1;BT;11,4;11,40;
620374;Pincel marca texto lumi soft verde pastel 1482005SM024VD Pilot BT 1 UN;1;BT;3,8;3,80;
181008;Caneta esf.retratil 1,0mm kilom.100 azazpt 2049376 Paper Mate BT 3 UN;1;BT;10,9;10,90;
348220;Agua Mineral com gas 500ml Crystal EB 1 UN;1;EB;2,5;2,50;
Valor total R$;180,60;
Estabelecimento;Kalunga SA;
