Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7896233701486;P H DOBLE DUPL 16X30M L+P-;1;UN;20,9;20,90;
2009630000006;BANANA CATURRA GRANEL;0,5152;KG;4,95;2,55;
2006970000000;MAMAO PAPAIA INTEIRO;0,7;KG;12,9;9,03;
7891000261026;IOG INT NINHO POLPA 540G;1;UN;5,98;5,98;
7896105800354;BATATA PALITO MCCAIN FORN 600G;1;UN;13,98;13,98;
7898506325306;FILE PTO FGO NAT IQF FAT 1KG;1;UN;17,8;17,80;
7893000516083;FILEZINHO FGO SADIA IQF 1KG;1;UN;21,49;21,49;
7896419725459;ISCAS EMP FGO LAR 700G;1;UN;20,8;20,80;
7899567240911;CARNE MOIDA DIANT BOV CHEF 500G;1;UN;19,9;19,90;
Valor total R$;132,43;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
