Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
37171;ALFACE;1;UN;3,5;3,50;
40839;MINI OREO 35g;1;UN;3,95;3,95;
35146;PRODUTO DE BALANCA;5,31;KG;1;5,31;
35146;PRODUTO DE BALANCA;4,14;KG;1;4,14;
35146;PRODUTO DE BALANCA;3,68;KG;1;3,68;
30000;Diversos;10,09;UN;1;10,09;
30000;Diversos;7,99;UN;1;7,99;
39682;MOLHO DE TOMATE SECO LA ONDA 300g;1;UN;17,5;17,50;
41867;MACARRAO FORMOLO 500g;1;GR;8,95;8,95;
41868;TALHARIM FORMOLO 500g;1;UN;8,95;8,95;
41857;OVO DE CODORNA VOVO 580g;1;UN;17,7;17,70;
35146;PRODUTO DE BALANCA;90,37;KG;1;90,37;
Valor total R$;182,13;
Estabelecimento;DE BONA E POLETTO LTDA - EPP;
