Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
2523440000006;PRESUNTO COZ MAGRO SADIA AT;0,1319;KG;37,9;5,00;
2152330000002;QJO MUSSARELA LACMAX AT;0,204;KG;62,9;12,83;
2535490000004;COPA MAJESTADE FATIADA AT;0,114;KG;74,9;8,54;
7896348840933;IOG PIA CREM MEL 800G;1;UN;10,39;10,39;
7892840812874;H2OH! LIMONETO 1,5L;1;UN;6,49;6,49;
7891149108718;CV CORONA EXTRA 330ML;3;UN;5,99;17,97;
7898569621025;PAO SAND AMALFI INT S/LAC 450G;1;UN;6,89;6,89;
2009700000004;BANANA PRATA GRANEL;1,5829;KG;3,98;6,30;
2143800000004;TOMATE ITALIANO GRANEL;1,0214;KG;7,95;8,12;
2095530000000;LARANJA NAVELINA GRANEL;1,4669;KG;4,99;7,32;
2008640000006;BERGAMOTA PONKAN 70/90 GRANEL;1,3645;KG;5,98;8,16;
7896018703940;LENCO KLEENEX DIA 10F L4P3;1;UN;6,5;6,50;
7895800304228;GOMA TRIDENT MENTA 8G;1;UN;2,59;2,59;
0000078939301;BB SONHO VALSA AO LEITE 20G;6;UN;1,29;7,74;
Valor total R$;114,84;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
