Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
2095530000000;LARANJA NAVELINA GRANEL;0,7678;KG;9,95;7,64;
2009630000006;BANANA CATURRA GRANEL;0,9354;KG;4,95;4,63;
7898956316176;ALFACE HIDROPONICA;1;UN;3,65;3,65;
7896848800079;OVO BRANCO GRANDE BAMPI C/6;1;UN;3,59;3,59;
7896272000977;AZ VERDE V.FERTIL PIMENTAO 200G;1;UN;11,98;11,98;
7896348841855;IOG PIA CREM NATURAL 800G;1;UN;9,59;9,59;
3228020355741;MANT PRESIDENT C/SAL 200G;1;UN;10,9;10,90;
7898908207149;REQUEIJAO CREMOSO  G.MESTRI 180G;1;UN;6,7;6,70;
Valor total R$;58,68;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
