Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
5130;HORTI - CEBOLA KG;0,685;KG;3,99;2,73;
33680;HORTI - TOMATE LONGA VIDA KG;0,735;KG;10,99;8,07;
2040;FRUTI - BANANA PRATA KG;1,25;KG;6,99;8,73;
5790;FRUTI - MACA GALA KG;1,275;KG;6,99;8,91;
179960;MANTEIGA BATAVO EXTRA COM SAL 200G;1;UN;9,99;9,99;
179960;MANTEIGA BATAVO EXTRA COM SAL 200G;1;UN;9,99;9,99;
127900;IOG PIAGURT MEL 800G;1;UN;10,69;10,69;
770260;IOG PIA CREMOSO ABACATE 800G;1;UN;10,69;10,69;
758400;CARNE FGO PEITO C OSSO CONG KG;1,096;KG;13,98;15,32;
592000;PRESUNTO NOBRE COZ SGOR AURORA FAT KG;0,064;KG;26,9;1,72;
832360;QUEIJO MUSSARELA INTERFOLHADO KG;0,17;KG;39,9;6,78;
758400;CARNE FGO PEITO C OSSO CONG KG;0,822;KG;13,98;11,49;
238980;AVEIA FLOCOS CERELUS FINOS 500G;1;UN;6,39;6,39;
238980;AVEIA FLOCOS CERELUS FINOS 500G;1;UN;6,39;6,39;
10077900;HORTI - ALFACE HIDROPONICA ESTANCIA;1;UN;4,99;4,99;
623150;CEREAL BARRA RITTER BANAVMEL C3 75G;1;UN;4,49;4,49;
623150;CEREAL BARRA RITTER BANAVMEL C3 75G;1;UN;4,49;4,49;
9128390;PAO TCHE INTEGRAL LIGHT 350G;2;UN;8,99;17,98;
837480;OVO VERMELHO EXTRA STRAGLIOTTO C20;1;UN;14,99;14,99;
627610010;ATUM RALADO GDC OLEO 170G;3;UN;6,99;20,97;
150590;ARROZ BLUE VILLE T1 BRANCO 5KG;1;UN;18,99;18,99;
834830;OLEO SOJA VITALIV PET 900ML;2;UN;9,89;19,78;
197830;LEITE L.VIDA STA CLARA INTEGRAL 1L;4;UN;3,99;15,96;
Valor total R$;240,53;
Estabelecimento;PGL DISTRIBUICAO DE ALIMENTOS LTDA;
