Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7896333000137;ARROZ CAPELLINI BCO T1 5KG;1;UN;17,9;17,90;
7898569621025;PAO SAND AMALFI INT S/LAC 450G;1;UN;5,79;5,79;
4005900739346;SAB NIVEA ERVA-DOCE 85G C/6 L+P-;1;UN;11,9;11,90;
7500435138710;ESC D ORAL-B COLOR COLLECT C/5;1;UN;24,9;24,90;
7896273900337;GRAO-DE-BICO CALDO BOM 500G;1;UN;12,79;12,79;
7896079461117;FEIJAO PRETO NAMORADO 1KG;1;UN;7,99;7,99;
7891150049888;CR D CLOSEUP TRIPLE HORTELA 70G;4;UN;2,29;9,16;
7896348841855;IOG PIA CREM NATURAL 800G;2;UN;8,39;16,78;
7896061918322;P H ELITE ULTRA DUPL L24P22 30M;1;UN;30,9;30,90;
Valor total R$;138,11;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
