Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7702025123513;BISC DUX ORIGINAL SALTED 300G;1;UN;8,9;8,90;
7702025125746;BISC DUX ORIGINAL SODAS 300G;1;UN;8,9;8,90;
7898569621025;PAO SAND AMALFI INT S/LAC 450G;1;UN;5,79;5,79;
7896024760302;BISC AGUA PIRAQUE GERGELIM 240G;3;UN;4,48;13,44;
7896018703940;LENCO KLEENEX DIA 10F L4P3;2;UN;5,69;11,38;
4005900739346;SAB NIVEA ERVA-DOCE 85G C/6 L+P-;1;UN;11,9;11,90;
7896333039489;GRANOLA TUTTIGIO CER/FTS 800G;1;UN;15,9;15,90;
7898018320080;GUARD BRANKITO 20X22 C/50;2;UN;1,45;2,90;
7622210661852;BISC BELVITA CACAU&CER INT 75G;1;UN;3,38;3,38;
7622300990749;BISC CLUB SOCIAL ORIGINAL 288G;1;UN;7,38;7,38;
7896333015148;MADELEINES MERCATTO 250G;1;UN;17,9;17,90;
7896011102566;BISC AGUA E SAL PARATI 370G;1;UN;5,68;5,68;
2527400000006;MORT DEFUMADA SADIA AT;0,1721;KG;31,9;5,49;
2523440000006;PRESUNTO COZ MAGRO SADIA AT;0,1799;KG;35,9;6,46;
2089380000006;QJO MUSSARELA PRESIDENT AT;0,2599;KG;49,9;12,97;
7896035700021;CAFE MELITTA MARCATO 9 C/10 CAPS;1;UN;20,95;20,95;
7896035700014;CAFE MELITTA RISTR 10 C/10 CAPS;1;UN;20,95;20,95;
7896348840926;IOG PIA CREM COCO 800G;1;UN;8,39;8,39;
7896035700045;CAFE MELITTA STACCAT 6 C/10 CAPS;1;UN;20,95;20,95;
7896272000076;AZ PRETA AZAPA V.FERTIL C/C 200G;1;UN;9,79;9,79;
7898327431286;P H ELITE ULTRA DUPL L16P15 30M;1;UN;17,9;17,90;
Valor total R$;237,30;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
