Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
2554;Machiatto;1;UN;5;5,00;
673;Pao de Queijo;1;UN;4;4,00;
Valor total R$;9,00;
Estabelecimento;REX COMERCIO DE ALIMENTOS LTDA.;
