Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7898080664112;ENERG BALY FRUTAS TROPICAIS 2L;1;UN;9,9;9,90;
7892840812416;H2OH! LIMAO 1,5L;1;UN;5,99;5,99;
7894900321753;SCHWEPPES CITRUS 1,5L;1;UN;5,79;5,79;
7896436100604;AG MINERAL AGUA D.PEDRA C/GAS 2L;1;UN;3,89;3,89;
7894900027013;COCA-COLA ORIG 2L;2;UN;7,29;14,58;
7891000325131;BB NESTLE ESPECIALIDADES 251G;1;UN;12,9;12,90;
2009490000000;TOMATE LONGA VIDA GRANEL;0,7876;KG;9,98;7,86;
2009630000006;BANANA CATURRA GRANEL;1,4835;KG;5,75;8,53;
7898925152224;BROTOS DE ALFAFA BR101      115G;1;UN;6,59;6,59;
7898956316015;ALFACE MIMOSA HIDROPONICA;2;UN;4,95;9,90;
7898957049325;SALADA FRESH IARONKA        300G;1;UN;12,98;12,98;
Valor total R$;98,91;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
