Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
162558;Cenoura Kg;0,915;KG;10,99;10,06;
159395;Bolo Coco Kg;0,51;KG;19,9;10,15;
162531;Cebola Kg;0,835;KG;3,99;3,33;
162485;Batata Branca Kg;1,165;KG;3,37;3,93;
161780;Bergamota Pocan Nat Kg;1,095;KG;4,99;5,46;
469769;Milho Ver Stefen C3;1;UN;4,99;4,99;
819174;Couve Flor Andreazza e Filhos 300g;1;UN;9,97;9,97;
348775;Coxa Fran Congela Kg;0,858;KG;9,95;8,54;
585653;Bife De Coxao Mole Kg Sem Capa;0,608;KG;49,99;30,39;
160393;Bisteca C.B Resf C O Kg;0,688;KG;42,9;29,52;
553182;Chicletes Flics Arcor 17g Hortela;1;UN;1,29;1,29;
392243;Chocolate Bibs 40g;1;UN;2,99;2,99;
344850;Trident 8g;1;UN;1,99;1,99;
344850;Trident 8g;1;UN;1,99;1,99;
Valor total R$;124,60;
Estabelecimento;Irmaos Andreazza Ltda;
