Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7896333039489;GRANOLA TUTTIGIO CER/FTS 800G;1;UN;15,9;15,90;
7896276901799;FOLHA ALUM CONSERV 30CM/7,5M;1;UN;8,9;8,90;
7896035733319;CAFE BOM JESUS TRAD VAC250G;1;UN;7,98;7,98;
7893500020110;ARROZ T.JOAO BCO T1 1KG;1;UN;5,99;5,99;
5601216120152;AZ POR ANDORINHA EV 500ML;1;UN;26,9;26,90;
7896333031599;ACETO BALS MERCATTO MODEN 250ML;1;UN;15,98;15,98;
7898327431286;P H ELITE ULTRA DUPL L16P15 30M;1;UN;24,9;24,90;
Valor total R$;106,55;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
