Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7896775178012;PACOCA ROLHA GUIMARAES 230G;1;UN;8,99;8,99;
7891095002207;PIPOCA MIC YOKI NAT C/S 100G;5;UN;4,19;20,95;
7896276906961;SACO PIPOCA CONFESTA C/50;1;UN;9,68;9,68;
7798159947989;VH PIEL DE LOBO MALBEC 750ML;1;UN;49,9;49,90;
7804330984060;VH 120 CARMENERE RES ESP 750ML;1;UN;54,9;54,90;
7896348841855;IOG PIA CREM NATURAL 800G;1;UN;10,39;10,39;
7898569621025;PAO SAND AMALFI INT S/LAC 450G;1;UN;6,89;6,89;
7896625210756;IOG VIGOR VIV AMEIXA 150G;2;UN;2,49;4,98;
2035130000000;QJO MOZ BUF KRONHARDT EV;0,286;KG;68;19,45;
2430520000002;SEQUILHO FUBA               .ZAF;0,19;KG;29,9;5,68;
4005900713612;SAB NIVEA LEITE 85G C/6 L+P-;1;UN;15,5;15,50;
Valor total R$;207,31;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
