Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7891962000183;COLOMBA BAUDUCCO FTS 500G;2;UN;22,95;45,90;
7891008183146;OVO TALENTO CASTANHA PARA 350G;1;UN;39,99;39,99;
7891000251720;OVO NESTLE AO LTE 185G;1;UN;31,9;31,90;
7896436100604;AG MINERAL AGUA D.PEDRA C/GAS 2L;1;UN;3,98;3,98;
7801222004400;VH TIERRUCA ALTO CARMENERE 750ML;1;UN;39,8;39,80;
7801222004417;VH TIERRUCA ALTO CAB SAUV  750ML;2;UN;39,8;79,60;
7801222006299;VH TIERRUCA ALTO PINOT NOI 750ML;1;UN;39,8;39,80;
7896452112506;ESP CASA PERINI MOSCATEL 750ML;1;UN;39,8;39,80;
Valor total R$;320,77;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
