Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
20005;CAPPUCCINO ITALIANO;1;UN;7,5;7,50;
20147;PASTEL DE FRANGO;2;UN;3,5;7,00;
20466;PAO DE QUEIJO GRANDE;1;UN;4,5;4,50;
20261;TORTA LINZER;2;UN;11,9;23,80;
20248;TORTA CROSTATA DE GRIGNOTINES;1;UN;11,9;11,90;
20007;CAFE EXPRESSO;1;UN;4;4,00;
78929357;CHOCOLATE BARRA NEUGEBAUER REFEICAO;1;UN;1,5;1,50;
78929357;CHOCOLATE BARRA NEUGEBAUER REFEICAO;1;UN;1,5;1,50;
78929357;CHOCOLATE BARRA NEUGEBAUER REFEICAO;1;UN;1,5;1,50;
78929357;CHOCOLATE BARRA NEUGEBAUER REFEICAO;1;UN;1,5;1,50;
Valor total R$;64,70;
Estabelecimento;FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL;
