Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7896496972111;GRANOLA M.TERRA FRUTAS&MEL 800G;2;UN;27,9;55,80;
7896333015155;MADELEINES MERCATTO G.CHOC 250G;1;UN;9,9;9,90;
2009180000006;MACA FUJI GRANEL;0,9319;KG;11,9;11,09;
7891097000935;CR RICOTA PRESIDENT TRAD 200G;1;UN;5,99;5,99;
7898569621025;PAO SAND AMALFI INT S/LAC 450G;1;UN;5,79;5,79;
2007890000002;MAMAO FORMOSA INTEIRO;1,5184;KG;8,95;13,59;
2009630000006;BANANA CATURRA GRANEL;1,4381;KG;5,98;8,60;
7896042028491;CESTA EMP PLASUTIL 2849 BR M;1;UN;5,9;5,90;
7896035733319;CAFE BOM JESUS TRAD VAC250G;1;UN;7,79;7,79;
7896272000076;AZ PRETA AZAPA V.FERTIL C/C 200G;1;UN;9,79;9,79;
Valor total R$;134,24;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
