Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7896348841855;IOG PIA CREM NATURAL 800G;1;UN;9,59;9,59;
7896348845204;IOG PIA CREM ABACATE 800G;1;UN;9,59;9,59;
2523440000006;PRESUNTO COZ MAGRO SADIA AT;0,156;KG;35,9;5,60;
2089380000006;QJO MUSSARELA PRESIDENT AT;0,196;KG;49,9;9,78;
0000077306456;MANT CONAPROLE EXTRA C/SAL 200G;1;UN;8,9;8,90;
7861167300388;ATUM BACHI OLEO RAL 170G;1;UN;5,89;5,89;
7891167011717;ATUM G.COSTA OLEO PED 170G;1;UN;8,79;8,79;
Valor total R$;58,14;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
