Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
2006970000000;MAMAO PAPAIA INTEIRO;0,7958;KG;11,95;9,51;
7896333023143;BATATA MERCATTO SAL MAR 96G;1;UN;5,99;5,99;
2009630000006;BANANA CATURRA GRANEL;0,898;KG;5,98;5,37;
7898569621025;PAO SAND AMALFI INT S/LAC 450G;1;UN;5,79;5,79;
8002720003028;BISC CHAMPAGNE BONOMI CHOC 200G;1;UN;4,9;4,90;
7896333015155;MADELEINES MERCATTO G.CHOC 250G;1;UN;16,9;16,90;
7896348843842;IOG INT PIA ESSEN PED MIRT 500G;1;UN;9,29;9,29;
7896423420180;CHOC SNICKERS 45G;1;UN;2,99;2,99;
7891000460207;CHOC PRESTIGIO 33G;1;UN;2,19;2,19;
Valor total R$;62,93;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
