Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
30393;P.VERDE KG;0,4198;KG;9,98;4,19;
726;ALFACE. UN;3;UN;3,98;11,94;
29279;TOMATE SALADETE KG;0,5247;KG;14,98;7,86;
8434;COUVE FLOR. UN;1;UN;7,98;7,98;
4401;BROCOLIS BDJ;1;UN;6,98;6,98;
28719;BIFE  MILANESA DE GADO;0,276;KG;49,9;13,77;
5186;CARVAO 3KG;1;UN;12,98;12,98;
28772;ENTRECOT GADO;0,906;KG;71,9;65,14;
28774;CARNE MOIDA DE PRIMEIRA;0,4941;KG;48,9;24,16;
28719;BIFE  MILANESA DE GADO;0,2341;KG;49,9;11,68;
33885;CREN COLONIAL QUALIVIDA 140G;1;UN;16,98;16,98;
51117;PASTA AMEND FORCE UP 1,005KG TRADICIONAL;1;UN;19,98;19,98;
36317;PRIME RIB KG;0,732;KG;72,9;53,36;
28771;CARNE SEG S/OSSO KG;0,512;KG;44,9;22,99;
Valor total R$;279,99;
Estabelecimento;Emporio Minuano Sao Jose Ltda;
