Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
2009700000004;BANANA PRATA GRANEL;1,2123;KG;8,48;10,28;
2008640000006;BERGAMOTA PONKAN 70/90 GRANEL;0,8166;KG;6,98;5,70;
7898018320080;GUARD BRANKITO 20X22 C/50;2;UN;1,45;2,90;
7896104993583;P TOALHA TOP RESIDENCE 2X55F;1;UN;5,2;5,20;
7896328210084;CHA BARAO MACA C/CANELA 10SH;1;UN;4,37;4,37;
7896328210282;CHA BARAO POS REFEICAO 10SH;1;UN;4,37;4,37;
7896328210022;CHA BARAO CAMOMILA 10SH;1;UN;3,28;3,28;
7891095007943;PIPOCA MIC YOKI NAT C/S 50G;2;UN;2,49;4,98;
7891095002207;PIPOCA MIC YOKI NAT C/S 100G;3;UN;2,99;8,97;
7891095100125;PIPOCA MIC YOKI NAT 100G;1;UN;2,99;2,99;
7896001045637;ESP NAO RISCA ESFREBOM AZUL C/3;1;UN;7,59;7,59;
7896027910018;SAL REFINADO IODADO DIANA 1KG;1;UN;2,19;2,19;
7891959014612;ACUCAR CRISTAL UNIAO 1KG;1;UN;4,45;4,45;
7500435169370;SH PANTENE HIDR 350ML+COND 175ML;1;UN;26,5;26,50;
7896333015650;GRISSINI PLIC-PLAC CHOC BR 200G;1;UN;10,9;10,90;
7896589402525;ADOC STEVIA STEVITA SW C/50ENV;1;UN;11,9;11,90;
2387750000008;AMEIXA PRETA S/CAR        GRANEL;0,1599;KG;62,9;10,06;
Valor total R$;126,63;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
